CS,Density,WC,pH,EC,F,G,Pollen_analysis,Viscosity,Purity,Price
6.49,1.35,19.41,3.65,0.86,44.41,42.15,Wildflower,2630.34,1,321.85
4.34,1.23,23.31,4.91,0.73,33.9,35.51,Wildflower,6364.92,0.84,270.95
6.9,1.22,24.05,5.82,0.74,20.94,44.74,Wildflower,9754.15,0.92,296.08
9.73,1.76,22.27,6.12,0.85,29.29,26.52,Wildflower,3422.99,0.66,212.98
1,1.31,20.97,6.29,0.81,27.39,42.27,Wildflower,5071.21,0.64,204.93
7.03,1.7,16.02,6.48,0.76,21.87,42.82,Wildflower,9539.98,0.92,296.08
4.83,1.49,17.04,3.59,0.85,31.9,43.64,Wildflower,5909.61,1,321.85
7.53,1.45,13.52,2.98,0.8,23.23,26.04,Wildflower,7589.01,0.66,212.98
6.76,1.25,22.6,2.53,0.72,20.51,23.56,Wildflower,3769.91,0.95,304.78
4.59,1.24,23.78,7.23,0.81,45.27,42.88,Wildflower,8797.5,0.64,204.93
2.26,1.59,18.63,5.8,0.8,29.62,40.4,Wildflower,5001.71,0.64,204.93
3.79,1.49,17.45,6.02,0.88,32.14,26.75,Wildflower,4217.7,0.89,287.06
4.64,1.56,19.37,4.8,0.84,46.06,41.83,Wildflower,4543.1,0.8,256.46
4.71,1.84,15.53,5.11,0.88,20.63,41.23,Wildflower,6733.11,0.64,204.93
2.08,1.66,15.49,6.76,0.7,34.15,28.22,Wildflower,6327.85,0.68,219.42
7.32,1.36,14.78,6.99,0.76,27.63,20.92,Wildflower,3055.46,0.64,204.93
7.23,1.43,22.72,4.28,0.84,37.01,31.48,Wildflower,9853.8,1,321.85
7.09,1.32,15.58,4.07,0.89,48.12,25.51,Wildflower,1776.19,1,321.85
9.53,1.41,13.22,3.34,0.71,22.65,24.09,Wildflower,3240.21,1,321.85
6.24,1.68,13.72,6.79,0.87,43.95,43.62,Wildflower,7558.39,0.95,304.78
2.85,1.24,14.21,7.24,0.8,43.07,38.35,Wildflower,4379.42,0.66,212.98
2.56,1.55,16.35,4.29,0.71,30.38,26.41,Wildflower,9261.79,0.84,270.95
5.87,1.43,12.17,3.4,0.73,28.99,27.86,Wildflower,8222.72,1,321.85
1.26,1.32,12.5,5.9,0.88,23.78,24.5,Wildflower,8315.72,0.64,204.93
7.28,1.26,16.9,3.59,0.85,43.5,31.87,Wildflower,2319.77,1,321.85
7.15,1.4,24.18,4.89,0.84,31.44,43.32,Wildflower,3343.04,1,321.85
1.35,1.34,12.22,3.11,0.74,44.83,27.19,Wildflower,9897.13,0.8,255.81
7.89,1.64,16.99,5.82,0.88,36.4,42,Wildflower,9141.36,0.87,279.01
6.36,1.39,13.4,4.71,0.85,31.01,26.07,Wildflower,8025.97,1,321.85
5.59,1.52,13.13,6.06,0.72,38.74,32.4,Wildflower,4625.83,0.99,319.27
9.14,1.53,13.79,7.49,0.77,32.42,34.51,Wildflower,8359.94,0.68,219.42
7.95,1.47,13.39,5.47,0.88,31.91,42.75,Wildflower,5844.6,0.66,211.37
4.52,1.22,18.51,5.59,0.72,26.28,23.99,Wildflower,4477.05,0.64,204.93
9.57,1.44,16.96,4.07,0.71,25,37.82,Wildflower,7197.04,1,321.85
5.83,1.72,21.13,3.73,0.72,46.77,21.35,Wildflower,5545.76,1,321.85
9.55,1.31,14.06,4.21,0.78,23.2,33.2,Wildflower,6672.57,0.82,264.51
1.65,1.75,22.79,7.31,0.89,31.55,20.22,Wildflower,6967.85,0.66,211.37
9.05,1.73,13.09,5.96,0.79,49.28,32.32,Wildflower,4179.51,0.66,212.98
4.36,1.72,24.94,7.5,0.9,20.29,30.5,Wildflower,4456.17,0.66,212.98
2.92,1.38,13.81,7.35,0.74,48.29,29.43,Wildflower,4588.19,0.9,290.28
3.54,1.23,14.06,6.85,0.76,29.2,25.07,Wildflower,3390.97,0.66,212.98
8.38,1.4,14.13,5.34,0.86,43.68,20.46,Wildflower,9210.79,0.88,282.23
1.72,1.83,17.1,2.99,0.71,26.33,39.27,Wildflower,6841.04,0.87,280.62
9.41,1.83,18.03,5.82,0.7,27.34,38.12,Wildflower,5540.23,0.87,280.62
6.39,1.45,16.53,6.01,0.79,43.36,27.1,Wildflower,6711.49,0.97,312.83
6.19,1.65,23.9,3.29,0.86,21.02,34.99,Wildflower,2642.71,1,321.85
4.02,1.28,16.79,3.93,0.86,29.41,35.51,Wildflower,9006.84,0.82,264.51
4.27,1.8,22.74,6.38,0.76,23.52,20.05,Wildflower,8908.47,0.64,204.93
7.46,1.74,13.65,5.19,0.83,42.91,27.9,Wildflower,9625.6,0.64,204.28
6.21,1.32,18.06,7.45,0.72,36.95,44.66,Wildflower,4766.49,1,321.85
5.22,1.62,16.41,7.38,0.86,44.69,22.99,Wildflower,6091.38,0.95,304.78
9.14,1.39,15.74,4.05,0.77,40.78,38.6,Wildflower,3370.38,1,321.85
7.98,1.69,16.34,5.56,0.87,32.21,20.86,Wildflower,7690.07,0.66,211.37
2,1.44,21.18,4.15,0.84,41.39,43.58,Wildflower,3277.44,1,321.85
9.38,1.42,22.88,6.05,0.86,32.57,37.26,Wildflower,7897.38,0.92,296.72
9.44,1.86,22.75,5.07,0.76,21.24,35.27,Wildflower,7270.8,0.66,212.98
8.39,1.84,23.34,5.52,0.89,45.17,38.47,Wildflower,4707.01,0.66,212.98
8.65,1.38,14.46,5.86,0.82,22.97,39.28,Wildflower,5977.28,0.9,290.28
4.36,1.28,24.51,7.22,0.83,27.42,29.18,Wildflower,9182.21,0.66,212.98
5.2,1.47,20.68,5.88,0.83,43.66,43.86,Wildflower,8451.53,0.95,304.78
3.21,1.49,17.25,7.32,0.76,41.64,36.29,Wildflower,9070.6,0.87,280.62
3.99,1.69,15.79,4.73,0.78,35.38,44.13,Wildflower,1732.91,0.79,254.2
6.7,1.71,17.92,2.85,0.79,22.02,34.42,Wildflower,2655.49,1,321.85
9.7,1.73,20.19,6.35,0.88,45.7,42.75,Wildflower,4331.75,0.64,204.93
5.06,1.81,16.62,2.69,0.87,37.51,30.1,Wildflower,3852.01,0.99,319.27
3.62,1.34,19.67,2.55,0.74,32.02,20.7,Wildflower,9736.03,0.63,202.67
2.31,1.47,15.98,6.76,0.72,35.13,42.31,Wildflower,6834.2,0.66,211.37
2.44,1.41,15,6.17,0.81,25.57,28.46,Wildflower,6716.7,0.9,290.28
4.28,1.8,16.37,4.88,0.89,36.17,22.04,Wildflower,2588.3,0.82,262.9
9.98,1.45,16.1,5.89,0.7,35.83,44.61,Wildflower,5312.1,0.9,288.67
8.97,1.48,15.86,3.71,0.75,29.55,31.75,Wildflower,4077.49,0.82,264.51
2.02,1.62,20.37,2.7,0.89,35.81,36.43,Wildflower,1664.93,0.66,210.72
9.28,1.4,23.66,5.96,0.77,35.26,24.67,Wildflower,1878.73,0.87,279.97
5.07,1.65,15.21,6.16,0.76,24.26,27.02,Wildflower,6093.61,0.97,312.83
4.65,1.31,21.04,4.46,0.73,29.32,37.54,Wildflower,4207.15,0.82,264.51
4.47,1.79,20.47,6.63,0.87,42.59,32.44,Wildflower,7343.91,0.66,212.98
5.37,1.7,17.46,7.07,0.71,38.35,26.65,Wildflower,5644.51,1,321.85
3.46,1.42,24.58,5.33,0.75,34.89,32.44,Wildflower,1918.36,0.9,288.02
5.75,1.79,21.88,4.04,0.87,41.18,28.22,Wildflower,9338,1,321.85
3.98,1.6,24.03,5.89,0.86,21.76,42.39,Wildflower,6752.24,0.64,204.93
9,1.64,21.23,4.85,0.82,25.28,23.23,Wildflower,2122.17,0.77,247.76
5.95,1.66,21.6,3.17,0.79,38.85,24.92,Wildflower,1748.01,1,321.85
8.95,1.28,21.78,6.83,0.77,49.13,25.22,Wildflower,7124.19,0.66,212.98
1.79,1.28,18.01,7.15,0.85,43.24,29.73,Wildflower,2786.72,0.87,280.62
2,1.59,21.09,4.55,0.74,25.92,32.15,Wildflower,5283.6,0.82,264.51
5.9,1.81,12.47,7.45,0.76,29.73,29.29,Wildflower,3262.7,0.97,312.83
8.98,1.45,20.14,3.09,0.72,34.9,40.04,Wildflower,8954.94,1,321.85
3.5,1.34,22.91,3.43,0.71,22.84,44.97,Wildflower,2063.73,0.77,247.76
8.38,1.55,21.56,5.28,0.84,28.14,38.63,Wildflower,1687.72,0.64,204.28
5.06,1.48,24.12,6.95,0.71,30.35,41.59,Wildflower,2180.19,0.94,302.52
3.08,1.66,13.19,5.45,0.77,26.38,23.71,Wildflower,8862.4,0.64,204.93
4.28,1.63,21.79,4.06,0.86,32.21,26.34,Wildflower,1583.87,0.82,262.26
9.83,1.27,20.68,6.5,0.84,38.24,32.47,Wildflower,5915.53,0.68,219.42
7.08,1.5,14.51,3.67,0.81,36.38,21.67,Wildflower,4988.47,1,321.85
2.87,1.42,17.38,6.52,0.77,21.42,36.23,Wildflower,4402.94,1,321.85
2.91,1.78,13.8,7.49,0.81,33.64,33.31,Wildflower,4266.97,0.68,219.42
7.25,1.65,13.68,4.12,0.87,41.24,25.96,Wildflower,6436.98,0.82,264.51
8.8,1.54,14.94,6.46,0.81,37.47,39.15,Wildflower,7314.48,0.68,219.42
7.49,1.53,23.2,5.07,0.71,47.16,36.2,Wildflower,7949.52,0.66,212.98
3.95,1.42,15.33,3.38,0.72,37.78,20.87,Wildflower,2921.59,1,321.85
4.07,1.71,13.43,5.33,0.72,47.93,42.27,Wildflower,3621.69,0.64,204.93
2.48,1.56,17.82,5.97,0.83,22.67,22.5,Wildflower,6113.76,0.85,272.56
6.65,1.51,21.01,3.67,0.83,36.33,33.62,Wildflower,3342.33,1,321.85
6.67,1.39,24.45,3.61,0.76,21.43,43.83,Wildflower,8926.89,1,321.85
7.96,1.65,23.37,4.3,0.85,43.26,24.78,Wildflower,2816.1,0.8,256.46
8.06,1.69,18.07,4.37,0.77,47.17,42.72,Wildflower,7538.09,1,321.85
3.7,1.51,16.17,5.32,0.74,33.82,25.87,Wildflower,4917.14,0.68,219.42
6.98,1.47,17.11,3.08,0.72,45.04,22.65,Wildflower,3982.67,1,321.85
3.7,1.69,23.79,5.08,0.73,25.38,22.26,Wildflower,8562.06,0.64,204.93
8.34,1.22,23.14,5.49,0.75,32.63,25.48,Wildflower,8306.61,0.68,219.42
8.74,1.23,21.24,6.24,0.88,25.48,28.09,Wildflower,2516.14,0.66,212.98
9.12,1.3,17.81,4.05,0.9,40.87,23.28,Wildflower,7251.54,1,321.85
2.18,1.46,19.34,3.6,0.79,47.15,43.93,Wildflower,9125.84,0.8,256.46
9.27,1.78,13.12,5.65,0.85,29.67,43.44,Wildflower,8207.62,0.64,204.93
9.25,1.49,22.26,3.17,0.76,32,41.32,Wildflower,2045.1,0.79,254.2
8.5,1.76,12.55,5.59,0.72,39.93,43.99,Wildflower,6023.7,0.66,211.37
1.07,1.83,13.6,6.32,0.84,38.05,31.96,Wildflower,6422.38,0.68,219.42
5.29,1.54,12.11,3.38,0.71,37.3,41.12,Wildflower,3819.67,1,321.85
4.17,1.51,17.75,4.27,0.78,22.28,26.02,Wildflower,5911.34,1,321.85
3.92,1.43,23.47,4.13,0.71,48.62,34.47,Wildflower,5504.49,1,321.85
5.37,1.28,19.59,4.54,0.8,20.21,23.04,Wildflower,7247.08,1,321.85
1.53,1.84,14.78,4.15,0.88,47.81,41.02,Wildflower,4602.92,0.8,256.46
7.19,1.26,14.79,7.38,0.79,43.38,41.85,Wildflower,8451.38,0.95,304.78
4.96,1.24,18.22,5.68,0.86,24.41,24.04,Wildflower,2154.38,0.92,296.08
6.78,1.22,18.93,3.13,0.77,39.42,27.79,Wildflower,3332.87,1,321.85
9.77,1.71,20.01,6.33,0.77,47.56,27.38,Wildflower,8508.94,0.66,212.98
7.97,1.72,23.26,3.89,0.84,26.7,28.64,Wildflower,3546.93,0.82,264.51
4.68,1.36,23.82,5.71,0.79,31.82,35.15,Wildflower,2077.93,0.66,210.72
6.06,1.44,22.36,3.27,0.86,22.78,25.29,Wildflower,6320.38,1,321.85
3.21,1.51,23.48,3.47,0.89,38,32.04,Wildflower,2660.35,0.84,270.95
7.59,1.71,23.64,5.5,0.85,43.83,38.02,Wildflower,9532.53,0.64,204.28
4.85,1.43,24.26,3.32,0.88,29.12,27.35,Wildflower,6855.77,1,321.85
5.75,1.64,16.41,5.63,0.77,30.24,21.84,Wildflower,8032.03,0.97,311.22
5.75,1.45,16.85,6.78,0.82,23.32,35,Wildflower,7006.69,1,321.85
5.08,1.74,23.63,5.59,0.87,47.58,40.57,Wildflower,6629,0.95,304.78
6.38,1.26,23.42,5.05,0.78,23.04,37.12,Wildflower,2198.73,0.94,304.13
7.17,1.69,18.99,6.36,0.86,33.48,31.33,Wildflower,8690.87,0.99,319.27
7.99,1.36,19.76,2.78,0.76,48.04,43.65,Wildflower,4073.35,0.64,204.93
3.86,1.26,18.83,3.81,0.71,33.41,44.19,Wildflower,8158.25,0.82,262.9
2.72,1.4,17.6,3.2,0.81,21.43,36.78,Wildflower,5889.93,1,321.85
6.74,1.27,20.03,5.23,0.88,49.96,28.7,Wildflower,5073.67,0.97,312.83
3.77,1.83,17.87,5.9,0.9,47.28,30.51,Wildflower,9716.1,0.84,271.92
7.34,1.44,20.51,6.67,0.83,44.97,27.64,Wildflower,4628.98,0.9,290.28
3.01,1.39,24.01,5.18,0.88,20.51,42.34,Wildflower,5510.42,0.88,282.23
9.24,1.49,20.77,4.57,0.81,29.67,42.55,Wildflower,9282.18,0.8,256.46
9.5,1.45,21.65,4.91,0.87,25.33,44.69,Wildflower,5918.39,0.8,256.46
9.71,1.84,17.64,4.9,0.75,27.32,32.87,Wildflower,6991.8,1,321.85
6.17,1.56,14.93,4.61,0.87,27.42,40.91,Wildflower,2717.67,1,321.85
1.25,1.33,13.41,6.26,0.81,39.36,33.38,Wildflower,3154.43,0.68,219.42
6.93,1.38,22.98,7.43,0.86,44.84,42.58,Wildflower,5300.78,1,321.85
1.44,1.67,14.68,5.71,0.85,41.09,32.44,Wildflower,7261.98,0.66,212.98
9.73,1.58,20.85,6.23,0.81,42.21,24.96,Wildflower,9726.69,0.61,196.23
2.95,1.5,12.33,3.21,0.89,31.97,25.22,Wildflower,9108.4,0.84,270.95
4.89,1.47,24.32,6.26,0.78,25.26,23.51,Wildflower,1922.86,0.92,296.08
4.71,1.44,18.48,5.31,0.82,46.82,33.47,Wildflower,6447.73,0.9,290.28
8.56,1.71,19.74,4.46,0.81,33.38,36.64,Wildflower,6171.95,0.84,270.95
9.37,1.68,16.8,3.66,0.78,31.38,23.99,Wildflower,6554.63,1,321.85
2.86,1.59,17.94,4.69,0.84,26.91,43.43,Wildflower,2086.05,0.98,315.41
4.61,1.31,23.83,4.97,0.86,37.1,35.3,Wildflower,1524.79,0.82,262.26
1.31,1.84,20.04,3.8,0.8,21.76,30.86,Wildflower,8525.9,0.82,264.51
4.2,1.28,24.5,2.57,0.84,43.26,40.34,Wildflower,6691.16,0.64,204.93
5.61,1.29,18.82,3.37,0.73,25.14,40.49,Wildflower,2180.54,1,321.85
2.44,1.76,17.71,4.51,0.71,22.07,30.74,Wildflower,7174.66,1,321.85
8.96,1.73,23.33,5.59,0.83,44.03,36.88,Wildflower,5941.82,0.66,212.98
7.64,1.81,14.77,3.64,0.81,37.61,39.4,Wildflower,5377.1,0.84,270.95
8.63,1.36,12.47,4.03,0.75,41.19,20.16,Wildflower,3358.67,0.8,256.46
6.09,1.66,20.93,6.87,0.73,36.05,40.58,Wildflower,7071.12,0.97,311.22
8.79,1.53,24.95,6.97,0.87,48.47,24.8,Wildflower,5072.71,0.64,204.93
5.31,1.29,12.34,5.2,0.76,32.31,39.58,Wildflower,5896.84,0.99,319.27
7.29,1.68,20.2,6.33,0.87,49.14,40.17,Wildflower,8535.08,0.64,204.93
8.71,1.7,22.6,6.03,0.77,48.48,32.29,Wildflower,3040.79,0.66,212.98
4.72,1.26,16.7,3.83,0.88,24.5,30.53,Wildflower,5307.09,0.82,264.51
8.04,1.42,12.06,6.92,0.71,20.17,23.67,Wildflower,3752.75,0.88,282.23
4,1.7,19.58,4.78,0.75,29.44,29.18,Wildflower,9591.13,0.8,255.81
1.86,1.75,18.82,7.05,0.89,36.88,36.22,Wildflower,2376.45,0.66,210.72
3.06,1.66,22.61,6.93,0.88,21.98,31.07,Wildflower,3934.21,0.66,212.98
1.35,1.3,20.51,6.53,0.84,35.13,21.53,Wildflower,1506.65,0.63,202.67
4.04,1.69,13.64,5,0.79,24.26,21.07,Wildflower,6743.81,0.8,256.46
6.41,1.69,16.53,4.23,0.87,49.66,36.92,Wildflower,4944.33,1,321.85
2.42,1.66,23.46,3.85,0.75,29.48,29.91,Wildflower,1905.61,0.8,255.81
1.52,1.81,23.89,6.94,0.87,24.31,29.91,Wildflower,3705.4,0.66,212.98
1.15,1.21,17.56,5.73,0.82,43.35,32.45,Wildflower,3041.97,0.87,280.62
7.21,1.39,19.09,7.4,0.79,25.02,41.56,Wildflower,9924.37,0.85,273.53
7.53,1.32,21.1,3.61,0.87,37.02,27.56,Wildflower,6262.52,0.84,270.95
4.67,1.27,22.08,5.17,0.73,30.77,26.47,Wildflower,4859.19,0.68,219.42
8.65,1.36,20.73,4.38,0.78,36.51,40.17,Wildflower,9151.13,0.82,262.9
5.87,1.29,14.05,2.59,0.8,29.53,40.32,Wildflower,3827.53,0.95,304.78
6.6,1.86,19.85,6.19,0.74,40.34,35.68,Wildflower,6380.67,0.97,312.83
3.26,1.42,13.71,6.65,0.77,22.86,38.5,Wildflower,9209.95,0.9,290.28
8.74,1.83,20.41,4.14,0.71,32.55,43.39,Wildflower,8865.88,0.82,262.9
1.7,1.38,17.74,3.19,0.71,29.74,33.65,Wildflower,1935.14,1,321.85
9.24,1.72,17.81,4.7,0.9,34.44,31.18,Wildflower,9664.37,1,321.85
5.78,1.61,17.53,4.33,0.85,28.99,35.95,Wildflower,3886.42,1,321.85
1.99,1.42,16.37,2.91,0.79,22.12,32.17,Wildflower,7285.88,0.9,290.28
2.43,1.85,13.17,7.01,0.83,46.49,39.29,Wildflower,9731.03,0.64,204.28
9.2,1.5,19.92,3.87,0.76,44.17,41.43,Wildflower,4884.4,0.8,256.46
2.45,1.57,22.45,6.09,0.79,24.19,32.63,Wildflower,2574.98,0.66,212.98
8.81,1.79,17.46,3.07,0.87,24.49,30.89,Wildflower,5124.18,1,321.85
4.98,1.41,19.4,3.99,0.81,22.21,34.43,Wildflower,3867.45,1,321.85
5.34,1.24,14.21,6.12,0.8,44.81,30.7,Wildflower,2131.3,0.94,304.13
8.64,1.81,15.94,6.1,0.85,29.61,35.85,Wildflower,1647.46,0.64,204.28
9.6,1.37,23.12,7.42,0.8,25.7,22.03,Wildflower,4458.72,0.88,282.23
3.69,1.26,15.28,5.7,0.79,28.67,20.36,Wildflower,2994.26,0.64,204.93
6.8,1.38,20.66,6.08,0.84,31.92,29.44,Wildflower,4727.92,1,321.85
7.44,1.77,15.87,4.78,0.79,47.14,41.72,Wildflower,6841.11,0.8,256.46
7.89,1.63,22.36,4.2,0.83,22.93,35.37,Wildflower,8214.79,0.82,264.51
7.13,1.85,14.08,2.84,0.88,49.71,42.61,Wildflower,3274.26,0.95,304.78
6.44,1.24,18.18,5.53,0.73,38.9,36.6,Wildflower,3286.64,0.99,319.27
9.96,1.49,15.48,7.34,0.78,31.06,39.85,Wildflower,3256.19,0.68,219.42
5.18,1.4,17.53,5.01,0.87,28.91,25.52,Wildflower,1504.38,1,321.85
2.42,1.72,13.74,4.18,0.81,49.14,25.48,Wildflower,2455.34,0.8,255.81
2.86,1.65,16.76,3.56,0.88,39.52,41.08,Wildflower,2204.53,0.79,254.2
4.36,1.51,21.55,5.28,0.8,34.56,33.92,Wildflower,2476.33,0.66,210.72
7.92,1.74,13.56,5.31,0.73,43.71,27.4,Wildflower,2802.38,0.66,212.98
4.97,1.8,14.83,6.7,0.78,22.97,37.98,Wildflower,5407.46,0.97,312.83
9.87,1.48,15.85,5.07,0.76,47.36,25.54,Wildflower,4068.46,0.66,212.98
4.88,1.38,15.22,3.19,0.78,24.71,40.6,Wildflower,6613.79,1,321.85
2.5,1.74,23.9,5.82,0.79,45.01,25.75,Wildflower,2298.87,0.64,204.28
2.88,1.34,15.31,2.66,0.83,35.29,31.92,Wildflower,3509.81,0.68,219.42
3.65,1.54,22.86,5.43,0.82,33.06,31.85,Wildflower,7050.77,0.68,219.42
1.97,1.83,21.86,3.56,0.86,26.1,27.71,Wildflower,8945.39,0.82,264.51
6.54,1.36,20.14,6.47,0.83,26.42,20.87,Wildflower,6363.02,0.95,304.78
3.93,1.57,24.26,3.77,0.8,45.32,38.98,Wildflower,4357.55,0.82,264.51
8.98,1.38,16.24,3.95,0.75,46.72,28.42,Wildflower,5115.05,1,321.85
6.87,1.81,19.75,5.07,0.74,35.16,41.12,Wildflower,2080.14,0.94,302.52
7.09,1.58,21.18,3.02,0.81,29.4,29.42,Wildflower,7215.08,1,321.85
5,1.71,20.37,5.09,0.73,43.66,20.19,Wildflower,5836.67,0.95,304.78
9.91,1.58,19.51,3.82,0.9,49.77,39.47,Wildflower,2996.92,0.82,264.51
7.38,1.63,13.55,3.6,0.82,38.74,34.4,Wildflower,1758.97,0.82,262.26
2.96,1.25,15.01,5.48,0.77,43.59,30.32,Wildflower,7102.11,0.66,212.98
3.35,1.6,19.77,4.14,0.75,35.33,41.77,Wildflower,6171.64,0.82,262.9
3.29,1.24,22.24,5.32,0.74,23.97,42.53,Wildflower,7748.73,0.64,204.93
4.6,1.63,24.24,4.59,0.71,32.28,37.15,Wildflower,5213.73,0.84,270.95
8.81,1.26,23.68,5.98,0.88,47.97,34.1,Wildflower,9958.6,0.64,204.28
4.03,1.85,14.77,4.19,0.78,45.25,22.72,Wildflower,9780.61,0.77,247.76
3.48,1.53,13.7,6.44,0.79,33.32,36.12,Wildflower,5788.42,0.68,219.42
2.24,1.28,15.44,7.19,0.73,46.96,40.57,Wildflower,9468.52,0.64,204.93
7.65,1.33,14.5,6.66,0.82,39.04,31.86,Wildflower,8385.64,0.68,219.42
1.31,1.54,19.93,4.25,0.79,27.23,26.09,Wildflower,8419.28,0.82,264.51
1.51,1.26,17.21,4.09,0.84,23.44,24.73,Wildflower,6880.37,1,321.85
2.14,1.82,24.76,5.76,0.81,26.83,41.29,Wildflower,5371.06,0.64,204.93
2.1,1.22,15.08,2.73,0.71,35.96,32.58,Wildflower,4669.38,0.68,219.42
4.47,1.73,19.33,5.44,0.78,41.97,29.34,Wildflower,4121.18,0.66,212.98
1.92,1.42,12.22,3.86,0.76,45.98,26.73,Wildflower,6337.03,1,321.85
9.31,1.74,22.02,3.36,0.8,24.19,40.2,Wildflower,4639.51,0.8,256.46
3.94,1.26,13.59,5.91,0.75,30.49,34.69,Wildflower,9226.42,0.68,219.42
9,1.46,16.79,4.46,0.75,22.03,22.23,Wildflower,7188.55,0.8,256.46
9.11,1.78,18.82,4.71,0.82,39.18,29.59,Wildflower,4645.16,0.84,270.95
4.89,1.81,20.55,7.04,0.77,38.68,34.36,Wildflower,4213.19,0.99,319.27
6.68,1.44,21.14,6.17,0.72,21.11,28.98,Wildflower,6219.05,1,321.85
3.57,1.74,13.71,4.51,0.73,34.52,34.39,Wildflower,7789.89,0.84,270.95
4.5,1.42,23.55,3.74,0.79,20.46,35.47,Wildflower,7881.15,1,321.85
3.94,1.83,18.78,4.64,0.81,47.97,24.14,Wildflower,9612.26,0.77,247.76
4.47,1.4,12.5,4.88,0.82,47.25,27.78,Wildflower,2535.58,1,321.85
6.8,1.79,17.43,6.37,0.78,32.37,23.31,Wildflower,4262.39,1,321.85
3.56,1.65,16.67,2.8,0.78,21.45,42.73,Wildflower,3188.34,0.64,204.93
9.31,1.26,12.27,6.34,0.86,43.61,44.87,Wildflower,6238.69,0.64,204.93
8.62,1.32,12.47,4.5,0.82,24.89,33.63,Wildflower,4399.68,0.82,264.51
2.4,1.52,16.17,4.59,0.76,40.92,34.14,Wildflower,2899.37,0.82,264.51
2.09,1.32,17.66,6.12,0.81,45.69,44.07,Wildflower,3186.93,0.85,272.56
6.56,1.59,20.66,5.26,0.78,30.95,33.12,Wildflower,8369.14,0.99,319.27
7.52,1.34,14.53,5.3,0.7,48.53,20.44,Wildflower,9864,0.61,196.23
5.71,1.65,20.98,2.67,0.82,41.81,24.09,Wildflower,2171.06,0.92,296.08
8.25,1.3,17.36,3.11,0.82,41.61,32.15,Wildflower,5596.07,1,321.85
8.52,1.63,18.87,6.15,0.78,32.64,39.82,Wildflower,1528.65,0.66,210.72
8.91,1.61,17.78,3.93,0.76,49.24,29.52,Wildflower,5950.83,1,321.85
2.72,1.85,21.84,4.35,0.84,29.28,34.82,Wildflower,4933.29,0.82,264.51
4.04,1.3,24.23,2.98,0.88,35.42,35.66,Wildflower,5166.33,0.68,219.42
5.35,1.74,17.74,4.49,0.85,37.35,36.24,Wildflower,5342.35,1,321.85
7.93,1.6,21.9,6.27,0.89,20.53,21.02,Wildflower,5482.16,0.64,204.93
6.69,1.4,12.71,2.66,0.9,39.63,39.79,Wildflower,7670.17,1,321.85
2.99,1.45,16.25,6.79,0.76,46.26,44,Wildflower,8122.07,0.88,282.23
5.8,1.33,20.53,6.66,0.87,20.62,23.71,Wildflower,5046.62,0.95,304.78
7.48,1.38,13.26,5.44,0.7,26.94,42.12,Wildflower,3736.82,0.88,282.23
1.13,1.58,13.02,3.57,0.75,33.36,41.67,Wildflower,3817.1,0.82,262.9
